S No,Customer Enquiry Description,GGPL Quote Description (Ground Truth),TYPE OF PRODUCT,NON STANDARD
220,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
221,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
222,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
223,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
224,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
225,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
226,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
227,"1"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
228,"10"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Stainless Steel 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 10"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
229,"10"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Stainless Steel 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 10"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
230,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
231,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
232,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
233,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
234,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
235,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
236,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
237,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
238,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
239,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
240,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
241,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
242,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
243,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
244,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
245,"2"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
246,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
247,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
248,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
249,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
250,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
251,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
252,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
253,"3/4"" x 4.5mm Nom Thk Gasket Spiral WoundCL900 / CL1500 Dims to ASME B16.20, SS 316L Windings EXFOLIATED EXPANDED GRAPHITE Filler SS 316L Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
254,"4"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Stainless Steel 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 4"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
255,"4"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Stainless Steel 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 4"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
256,"4"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Stainless Steel 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 4"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
257,"GASW:CL900-1500:316:GPH:NPS2, AISI 316L Windings Flexible Graphite FillerAISI 316L Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
258,"16"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316L Windings Flexible Graphite FillerAISI 316L Inner Ring CS Outer Ring","SIZE: 16"" X 1500# X 4.5MM THK, SS316L SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316L INNER RING & CS OUTER RING, ASME B16.20",SPW,
259,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
260,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
261,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
262,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
263,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
264,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
265,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
266,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
267,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
268,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
269,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
270,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
271,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
272,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
273,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
274,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
275,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
276,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
277,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
278,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
279,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
280,"2"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
281,"2"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
282,"2"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 2"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
283,"3/4"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
284,"3/4"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
285,"3/4"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, AISI 316 Windings Flexible Graphite Filler Stainless Steel 316 Inner Ring CS Outer Ring","SIZE: 3/4"" X 1500# X 4.5MM THK, SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & CS OUTER RING, ASME B16.20",SPW,
286,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Alloy 825 Windings EXFOLIATED EXPANDED GRAPHITE FillerAlloy 825 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, ALLOY 825 SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + ALLOY 825 INNER RING & CS OUTER RING, ASME B16.20",SPW,
287,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Alloy 825 Windings EXFOLIATED EXPANDED GRAPHITE FillerAlloy 825 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, ALLOY 825 SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + ALLOY 825 INNER RING & CS OUTER RING, ASME B16.20",SPW,
288,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Alloy 825 Windings EXFOLIATED EXPANDED GRAPHITE FillerAlloy 825 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, ALLOY 825 SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + ALLOY 825 INNER RING & CS OUTER RING, ASME B16.20",SPW,
289,"1"" x 4.5mm Nom Thk Gasket Spiral Wound CL1500 Dims to ASME B16.20, Alloy 825 Windings EXFOLIATED EXPANDED GRAPHITE FillerAlloy 825 Inner Ring CS Outer Ring","SIZE: 1"" X 1500# X 4.5MM THK, ALLOY 825 SPIRAL WOUND GASKET WITH EXFOLIATED EXPANDED GRAPHITE FILLER + ALLOY 825 INNER RING & CS OUTER RING, ASME B16.20",SPW,
